Samples,Xpos,Ypos,Pow,NebMode
0,0.21235679067988045,0.037497690852212884,0.10162516038723624,0
1,0.21747571336234728,0.052846126898518975,0.08634642521714397,0
2,0.21747571336234728,0.052846126898518975,0.09653224866386978,0
3,0.20723786799741717,0.04772998154975028,0.08634642521714397,0
4,0.2277135587272774,0.05796227224728945,0.08634642521714397,0
5,0.20723786799741717,0.04772998154975028,0.10671807211059559,0
6,0.21235679067988045,0.052846126898518975,0.08125351349378107,0
7,0.20211894531494856,0.04772998154975028,0.08634642521714397,0
8,0.20211894531494856,0.037497690852212884,0.08634642521714397,0
9,0.232832481409746,0.06819456294482862,0.09143933694050865,0
10,0.19188109995001668,0.032381545503440634,0.09143933694050865,0
11,0.21747571336234728,0.06307841759605637,0.08634642521714397,0
12,0.21235679067988045,0.04772998154975028,0.10671807211059559,0
13,0.21747571336234728,0.06307841759605637,0.08125351349378107,0
14,0.20723786799741717,0.04772998154975028,0.10671807211059559,0
15,0.2277135587272774,0.06819456294482862,0.08634642521714397,0
16,0.21235679067988045,0.037497690852212884,0.10162516038723624,0
17,0.2225946360448141,0.052846126898518975,0.08125351349378107,0
18,0.21235679067988045,0.042613836200979804,0.09653224866386978,0
19,0.21747571336234728,0.042613836200979804,0.08125351349378107,0
20,0.20211894531494856,0.042613836200979804,0.09653224866386978,0
21,0.2277135587272774,0.05796227224728945,0.08125351349378107,0
22,0.19700002263247995,0.037497690852212884,0.09653224866386978,0
23,0.21235679067988045,0.052846126898518975,0.07616060177042172,0
24,0.20211894531494856,0.037497690852212884,0.10162516038723624,0
25,0.20211894531494856,0.052846126898518975,0.07106769004705527,0
26,0.20211894531494856,0.04772998154975028,0.09653224866386978,0
27,0.21747571336234728,0.052846126898518975,0.08634642521714397,0
28,0.20211894531494856,0.042613836200979804,0.09143933694050865,0
29,0.21235679067988045,0.04772998154975028,0.09653224866386978,0
30,0.21235679067988045,0.052846126898518975,0.10162516038723624,0
31,0.20211894531494856,0.04772998154975028,0.07106769004705527,0
32,0.19700002263247995,0.04772998154975028,0.09653224866386978,0
33,0.2225946360448141,0.05796227224728945,0.08125351349378107,0
34,0.20211894531494856,0.042613836200979804,0.08634642521714397,0
35,0.21747571336234728,0.04772998154975028,0.09143933694050865,0
36,0.21747571336234728,0.052846126898518975,0.08634642521714397,0
37,0.20211894531494856,0.042613836200979804,0.10162516038723624,0
38,0.2277135587272774,0.06307841759605637,0.08634642521714397,0
39,0.20211894531494856,0.04772998154975028,0.09653224866386978,0
40,0.21235679067988045,0.052846126898518975,0.09143933694050865,0
41,0.21235679067988045,0.04772998154975028,0.08125351349378107,0
42,0.20211894531494856,0.037497690852212884,0.09143933694050865,0
43,0.21235679067988045,0.052846126898518975,0.07616060177042172,0
44,0.20723786799741717,0.042613836200979804,0.09653224866386978,0
45,0.21747571336234728,0.06307841759605637,0.08634642521714397,0
46,0.20211894531494856,0.037497690852212884,0.09653224866386978,0
47,0.21747571336234728,0.052846126898518975,0.07616060177042172,0
48,0.20723786799741717,0.052846126898518975,0.09143933694050865,0
