mag,dir,bacteria
1.1856746833067364,-3.033729585149278,KP
1.1064248408788677,-3.0272459251939448,KP
1.0542436486722184,-3.0247602437086973,KP
1.162395946348987,-3.0237449339490503,KP
1.2092332591457684,-3.026086714317664,KP
1.1962289385972174,-3.02630512426146,KP
1.2006332420962211,-3.0244215416375466,KP
1.1977497187690753,-3.0252952334519394,KP
1.1975907838432107,-3.0264368068714944,KP
1.1623959463489875,-3.0237449339490508,KP
1.0996274569160864,-3.022371844987155,KP
1.0516770555656936,-3.024317132074096,KP
1.0595507470824443,-3.026309658924445,KP
1.1217037201716729,-3.027281497502807,KP
1.188992959404786,-3.0315307852888425,KP
1.1570007067438037,-3.0307609998269873,KP
1.0389085304210937,-3.018175080581065,KP
1.0453563202302099,-3.0219957398170045,KP
1.0596814922969902,-3.0281091948044856,KP
1.0553066436636058,-3.031346406990157,KP
1.0594046191408597,-3.0316261779092644,KP
1.06244235243588,-3.028252565764739,KP
1.0490207462301542,-3.0249910409846454,KP
1.184911602838016,-3.0289461567029656,KP
1.179064514296542,-3.027516925683716,KP
1.0467919056899673,-3.020067841063078,KP
1.190889762797161,-3.021461004066243,KP
1.196433247856123,-3.023013002686589,KP
1.1625907607027142,-3.0193613426910226,KP
1.1515942547104732,-3.018356304809643,KP
1.1714026817286298,-3.019787097209933,KP
1.2026056507114131,-3.0221450283389055,KP
1.1613688079220545,-3.0212691718488682,KP
1.0989248094586122,-3.018419955637668,KP
1.1139344963290538,-3.022950231725682,KP
1.1804812080704146,-3.0308876947261787,KP
1.061702638441654,-3.017209683810481,KP
1.0444496125836797,-3.0181750805810643,KP
1.0560615468782852,-3.0240198608906077,KP
1.0644675230459617,-3.0222434406403367,KP
1.0456099790034368,-3.01960372657773,KP
1.0515045223621071,-3.0143823541939945,KP
1.1747073713960505,-3.027250143540628,KP
1.119474532042545,-3.022316953039163,KP
1.0474305105671988,-3.015950070581529,KP
1.1800318022600822,-3.0203502000318685,KP
1.1999285450777728,-3.019731031381216,KP
1.204299926976703,-3.020008171397985,KP
1.1869604893178014,-3.016743329350902,KP
1.192851541388221,-3.019172962746238,KP
1.1939358534054436,-3.0194526313536474,KP
1.192851541388221,-3.019172962746238,KP
1.1995970175151236,-3.0220088443866877,KP
1.0605213257545005,-3.019728155859355,KP
1.190448602970287,-3.0272842183994637,KP
1.1827410973160841,-3.026216309435183,KP
1.1336509644761605,-3.022120331023456,KP
1.0526331186946982,-3.018645122942936,KP
1.053798845429267,-3.020067841063078,KP
1.0563809256750833,-3.0214874121347792,KP
1.052633118694698,-3.018645122942936,KP
1.1223260278768443,-3.0214012466262394,KP
1.2011903926903542,-3.0276796272193005,KP
1.1994012824211557,-3.026659604398576,KP
1.1171129696354136,-3.0196114828011904,KP
1.061994532799516,-3.0176820484797013,KP
1.1295420949287507,-3.01853485476338,KP
1.199479777031296,-3.021007236524602,KP
1.2006651715898173,-3.0183116515308837,KP
1.2135497052547248,-3.019289427623454,KP
1.2006651715898171,-3.0183116515308837,KP
1.214613041702624,-3.0195659640037817,KP
1.1435199563860747,-3.0174816637859725,KP
1.1035820391625704,-3.015071452779765,KP
1.135193413965321,-3.022120331023456,KP
1.2024395687993354,-3.026791803345176,KP
1.1909915196244303,-3.027019090652087,KP
1.1136092213563933,-3.0211111950757905,KP
1.105423643317335,-3.0214470016053396,KP
1.1204869343808643,-3.0238074137845907,KP
1.1589177384283078,-3.025128349890042,KP
1.1835919544998372,-3.0266190951637864,KP
1.1940182146786,-3.027151807411513,KP
1.1948395359851702,-3.027548127259651,KP
1.0562847083231401,-3.0197281558593545,KP
1.0898793794513437,-3.015973802264116,KP
1.1159399500705873,-3.016140465068473,KP
1.1524105425614681,-3.016743311772431,KP
1.1560731816957568,-3.018500887252873,KP
