mag,dir,bacteria
1.5945156997180632,-2.935911486894925,SA
1.597218388994767,-2.936264504025542,SA
1.6007113766854475,-2.9384872478332005,SA
1.5976558960884708,-2.9386610494286414,SA
1.597436297024869,-2.9374645914056527,SA
1.5991422014958494,-2.937114140772184,SA
1.5968774790176115,-2.939162010327044,SA
1.585572757521184,-2.935023686522228,SA
1.6019208271328411,-2.9354151678555827,SA
1.599424589355702,-2.9362645040255426,SA
1.5809340872330961,-2.9358781649684342,SA
1.5798711455682426,-2.934845219102577,SA
1.5798285238317666,-2.936909721665508,SA
1.5909698915921207,-2.935734529189448,SA
1.5958670194965972,-2.9360881449237537,SA
1.5910220932134105,-2.936055634047084,SA
1.586086435777959,-2.9353797117377565,SA
1.5966555455178055,-2.9379640770277695,SA
1.5909698915921207,-2.935734529189448,SA
1.5958670194965945,-2.9360881449237533,SA
1.592097322064437,-2.934705177633451,SA
1.5882712242382917,-2.935379711737757,SA
1.589620532899477,-2.9355572710552447,SA
1.5798921747111654,-2.935165257153696,SA
1.5825169407312407,-2.937262367634433,SA
1.5963758541989448,-2.938814311722076,SA
1.5955847823179234,-2.9369384701456496,SA
1.5768971619957408,-2.9353439403619404,SA
1.5963678241397383,-2.936440564947439,SA
1.5980074406007583,-2.938138762369231,SA
1.6027095111612284,-2.9372895142780493,SA
1.6007778751309645,-2.9364405649474388,SA
1.5969363906526242,-2.937114140772184,SA
1.6069842717351968,-2.9390077740106855,SA
1.606984271735197,-2.9390077740106855,SA
1.5820443790783423,-2.9348452191025767,SA
1.6014861238313052,-2.9379880519064834,SA
1.5793499267730489,-2.9344873708165875,SA
1.6034155065082658,-2.9388345579109862,SA
1.582874492466924,-2.9346664474564013,SA
1.5950819239575529,-2.9365862345487206,SA
1.5945156997180638,-2.935911486894925,SA
1.6083383248023628,-2.9391806984557975,SA
1.597218388994767,-2.936264504025542,SA
1.600991510348537,-2.9376393728949637,SA
1.6054204521123057,-2.9376393728949637,SA
1.597156312799053,-2.9383131523918165,SA
1.5928266714884836,-2.938640020296235,SA
1.6015685420321255,-2.9383131523918165,SA
1.5869219657361733,-2.9352018504799338,SA
1.5974362970248663,-2.9374645914056527,SA
1.5860864357779616,-2.935379711737757,SA
1.5825620981629707,-2.9352018504799338,SA
1.572860689108495,-2.934806973612814,SA
1.576897161995738,-2.93534394036194,SA
1.607057820509986,-2.936966966068557,SA
1.5945156997180638,-2.935911486894925,SA
1.582590721679271,-2.935522318889366,SA
1.5987861905765537,-2.9376393728949637,SA
1.5817187524221725,-2.937764112250936,SA
1.5828744924669236,-2.9346664474564013,SA
1.5895666965562536,-2.937613817425359,SA
1.5771803945965646,-2.9344873708165875,SA
1.5977174310902487,-2.936616328434141,SA
1.589620532899477,-2.9355572710552447,SA
1.5969363906526275,-2.9371141407721844,SA
1.600711376685445,-2.9384872478332005,SA
1.5895666965562536,-2.937613817425359,SA
1.578484389245067,-2.936732948231749,SA
1.5795489468544262,-2.9377641122509366,SA
1.5819987134507247,-2.936909721665508,SA
1.56747943495454,-2.9340867163161444,SA
