mag,dir,bacteria
1.5253652550939734,-2.9342841986608117,SA
1.5206093995263583,-2.9317908116256173,SA
1.5235766704402935,-2.9334085159041683,SA
1.5256468375396666,-2.9334085159041683,SA
1.5229861437656935,-2.933039451678577,SA
1.5219666569668227,-2.9341005579977204,SA
1.513269992545217,-2.9331775238957154,SA
1.5231346267051773,-2.932483431248796,SA
1.5142777902681686,-2.9321111251264464,SA
1.525212638633223,-2.934833203243318,SA
1.5212024484448596,-2.9321626324946313,SA
1.5073531361457793,-2.932059144517047,SA
1.5079634966201032,-2.932433249426192,SA
1.5176995141722014,-2.9344266443747755,SA
1.5256468375396641,-2.933408515904168,SA
1.5169343519472145,-2.932483431248796,SA
1.5232954700769412,-2.934284198660812,SA
1.513269992545217,-2.933177523895716,SA
1.5252126386332252,-2.9348332032433184,SA
1.5237262452088614,-2.932854435582511,SA
1.5085724151880477,-2.932806040282999,SA
1.4994985651570045,-2.931174620019779,SA
1.5243164646996092,-2.9332241448417355,SA
1.5159235532074864,-2.9335477070263707,SA
1.5009601337195677,-2.932944001894722,SA
1.505594352372276,-2.9311746200197786,SA
1.4933684278507036,-2.933082991920587,SA
1.502710240003068,-2.933829190954334,SA
1.5073531361457766,-2.932059144517047,SA
1.522870117167139,-2.935707021926109,SA
1.5206378952730473,-2.9339165963911573,SA
1.5249052897829212,-2.933592565695242,SA
1.5072476124911969,-2.9326198086845348,SA
1.522423166805468,-2.9347940654632207,SA
1.5092900420828743,-2.9326198086845343,SA
1.5090081767327714,-2.933502437207107,SA
1.5206378952730446,-2.933916596391157,SA
1.522248102797884,-2.9332241448417355,SA
1.5252126386332283,-2.934833203243319,SA
1.514153567920246,-2.9326690957185306,SA
1.5156060448475916,-2.9322974413326177,SA
1.516934351947214,-2.932483431248796,SA
1.5236063077142992,-2.9355250669117665,SA
1.5182971796734581,-2.9347940654632203,SA
1.5182627114291882,-2.9326690957185306,SA
1.5249052897829216,-2.933592565695242,SA
1.506815743410021,-2.9319244817838612,SA
1.5091384063424218,-2.9310432539067786,SA
1.5125471361024807,-2.933362777600469,SA
1.5172504112350362,-2.933732313011516,SA
1.5212312944768804,-2.934284198660812,SA
1.5206378952730446,-2.933916596391157,SA
1.5199042820046869,-2.9341005579977204,SA
1.509727172843949,-2.9333166197159755,SA
1.517250411235039,-2.933732313011516,SA
1.518297179673461,-2.9347940654632203,SA
1.5065337155638971,-2.932806040282999,SA
1.5241658032232528,-2.9337762950415263,SA
1.5072967307596767,-2.934754569526527,SA
1.514878796122562,-2.9324834312487966,SA
1.5219393682414029,-2.931976884523857,SA
1.5182627114291882,-2.9326690957185306,SA
1.524316464699609,-2.9332241448417355,SA
1.5135522889751811,-2.9322974413326177,SA
1.5149172025456508,-2.9346105156391182,SA
1.523120672729475,-2.9327179352037707,SA
1.5249052897829214,-2.933592565695242,SA
1.5048813196501176,-2.9313625804300845,SA
1.4981777972787982,-2.9309863281974557,SA
1.5038877431689013,-2.9324332494261927,SA
1.5038877431689017,-2.9324332494261927,SA
1.504035381279992,-2.934014918956094,SA
1.5006243872803406,-2.9316837187007017,SA
1.5209516421016263,-2.9351602041072167,SA
1.5247299565115748,-2.9320288119289457,SA
1.5201853464562831,-2.933224144841736,SA
1.5201853464562802,-2.9332241448417355,SA
1.518297179673461,-2.9347940654632207,SA
1.5177156293883276,-2.934650520460994,SA
1.523859038681442,-2.932533157001255,SA
1.524905289782919,-2.9335925656952417,SA
1.5203573739406346,-2.9347940654632203,SA
1.516970024986889,-2.9346105156391187,SA
1.5085724151880475,-2.9328060402829985,SA
1.512988868648292,-2.934057934191914,SA
1.4893484202724838,-2.933082991920587,SA
1.4880306729196255,-2.9328956161038255,SA
1.5029912909574508,-2.932944001894722,SA
1.5169700249868916,-2.9346105156391187,SA
1.5099439972202608,-2.935122449780122,SA
1.5175319672142369,-2.932854435582511,SA
1.509897270113709,-2.9329919450711626,SA
1.5008193861045713,-2.9313625804300845,SA
1.5109414336616076,-2.9340579341919137,SA
1.5215121137933878,-2.9334085159041683,SA
1.5019489267559005,-2.931871597152534,SA
1.4999191781792687,-2.931871597152534,SA
1.5141934961400896,-2.9347940654632203,SA
1.504782165966005,-2.931924481783861,SA
1.512666412441017,-2.9328060402829985,SA
1.5015771461701841,-2.933316619715975,SA
1.4929559475443508,-2.932382605230379,SA
1.5015250022908255,-2.931174620019778,SA
1.5088995325225532,-2.934057934191914,SA
1.5043161846586388,-2.9331304748960947,SA
1.5238854729247093,-2.934650520460994,SA
1.5188586308846383,-2.9330394516785767,SA
1.5151972093642971,-2.933732313011516,SA
1.5072476124911938,-2.9326198086845343,SA
1.4889981237146024,-2.9318182239523227,SA
1.4900361916752904,-2.932895616103825,SA
1.4844351508741183,-2.933597928015011,SA
1.487397302298404,-2.9325198671365547,SA
1.4986541665749498,-2.933829190954334,SA
1.5095730827802756,-2.931737510455557,SA
1.5185773208791669,-2.9339165963911573,SA
1.524905289782919,-2.9335925656952417,SA
1.5249052897829214,-2.933592565695242,SA
1.525773974982866,-2.9330865276528018,SA
1.5014348711542325,-2.9317375104555574,SA
1.504782165966005,-2.931924481783861,SA
1.515923553207489,-2.933547707026371,SA
1.5219393682414002,-2.9319768845238565,SA
1.5151972093642998,-2.9337323130115163,SA
1.50620576844218,-2.931550210289334,SA
1.490666219823468,-2.9332700364507387,SA
1.5107843518636042,-2.932483431248796,SA
1.5052107032184578,-2.9326198086845343,SA
1.4998339623830177,-2.9324332494261927,SA
1.5078567800675602,-2.932991945071163,SA
1.517980526674607,-2.9335477070263707,SA
1.5031792919142295,-2.9326198086845348,SA
1.512107325871309,-2.932669095718531,SA
1.5059228621609904,-2.9324332494261927,SA
1.522558358161483,-2.934467519207234,SA
1.5008730105538233,-2.933502437207107,SA
1.5018581173130454,-2.9324332494261927,SA
1.5118262851584992,-2.933547707026371,SA
1.5118262851584992,-2.933547707026371,SA
1.511222177130815,-2.933177523895715,SA
1.5061031977959913,-2.9321111251264464,SA
1.5162425612752297,-2.9347940654632203,SA
1.5128288036130078,-2.932483431248796,SA
1.5193091851305194,-2.933732313011516,SA
1.5028985677687268,-2.9335024372071072,SA
1.5140722397543034,-2.935342794578356,SA
1.5212312944768753,-2.9342841986608112,SA
1.5187229736875492,-2.9335925656952417,SA
1.524753546698013,-2.934142795692063,SA
1.523885472924712,-2.9346505204609943,SA
1.520497973371907,-2.9344675192072343,SA
1.4985964286994056,-2.9316837187007017,SA
1.5102229465701158,-2.9342424508375364,SA
1.4948396679103508,-2.93079770409921,SA
1.4965739439275214,-2.9316837187007017,SA
1.5018581173130454,-2.9324332494261927,SA
1.508184770812391,-2.9342424508375364,SA
1.5128288036130078,-2.932483431248796,SA
1.5165223233830338,-2.9339165963911573,SA
1.5098972701137112,-2.932991945071163,SA
1.5028985677687239,-2.9335024372071064,SA
1.499273948068158,-2.934200319965561,SA
1.5042200411683826,-2.9336879282193253,SA
1.483324934216381,-2.930359226124854,SA
1.506584325568423,-2.9349386710387018,SA
1.5031792919142324,-2.9326198086845348,SA
1.503461186648338,-2.9317375104555574,SA
1.5207781682866892,-2.9335925656952417,SA
1.5151972093642976,-2.933732313011516,SA
1.520497973371907,-2.934467519207234,SA
1.5250341719746017,-2.9332703435491743,SA
1.5200175169275856,-2.931658123113197,SA
1.5123895334328576,-2.9317908116256173,SA
1.5115464119452873,-2.9344266443747755,SA
1.497894908243197,-2.9318715971525346,SA
1.5068157434100182,-2.931924481783861,SA
1.49525303253172,-2.931495508297344,SA
1.5124289687659727,-2.9339165963911573,SA
1.515606044847592,-2.932297441332618,SA
